Id,OrderId,ProductId,UnitPrice,Quantity,Discount
1,1,11,14,12,0
2,1,42,9.8,10,0
3,1,72,34.8,5,0
4,2,14,18.6,9,0
5,2,51,42.4,40,0
6,3,41,7.7,10,0
7,3,51,42.4,35,0.15
8,3,65,16.8,15,0.15
9,4,22,16.8,6,0.05
10,4,57,15.6,15,0.05
11,4,65,16.8,20,0
12,5,20,64.8,40,0.05
13,5,33,2,25,0.05
14,5,60,27.2,40,0
15,6,31,10,20,0
16,6,39,14.4,42,0
17,6,49,16,40,0
18,7,24,3.6,15,0.15
19,7,55,19.2,21,0.15
20,7,74,8,21,0
21,8,2,15.2,20,0
22,8,16,13.9,35,0
23,8,36,15.2,25,0
24,8,59,44,30,0
25,9,53,26.2,15,0
26,9,77,10.4,12,0
27,10,27,35.1,25,0
28,10,39,14.4,6,0
29,10,77,10.4,15,0
30,11,2,15.2,50,0.2
31,11,5,17,65,0.2
32,11,32,25.6,6,0.2
33,12,21,8,10,0
34,12,37,20.8,1,0
35,13,41,7.7,16,0.25
36,13,57,15.6,50,0
37,13,62,39.4,15,0.25
38,13,70,12,21,0.25
39,14,21,8,20,0
40,14,35,14.4,20,0
41,15,5,17,12,0.2
42,15,7,24,15,0
43,15,56,30.4,2,0
44,16,16,13.9,60,0.25
45,16,24,3.6,28,0
46,16,30,20.7,60,0.25
47,16,74,8,36,0.25
48,17,2,15.2,35,0
49,17,41,7.7,25,0.15
50,18,17,31.2,30,0
51,18,70,12,20,0
52,19,12,30.4,12,0.05
53,20,40,14.7,50,0
54,20,59,44,70,0.15
55,20,76,14.4,15,0.15
56,21,29,99,10,0
57,21,72,27.8,4,0
58,22,33,2,60,0.05
59,22,72,27.8,20,0.05
60,23,36,15.2,30,0
61,23,43,36.8,25,0
62,24,33,2,24,0
63,25,20,64.8,6,0
64,25,31,10,40,0
65,25,72,27.8,24,0
66,26,10,24.8,24,0.05
67,26,31,10,15,0.05
68,26,33,2,20,0
69,26,40,14.7,60,0.05
70,26,76,14.4,33,0.05
71,27,71,17.2,20,0
72,27,72,27.8,7,0
73,28,24,3.6,12,0.05
74,28,59,44,6,0.05
75,29,10,24.8,15,0
76,29,13,4.8,10,0
77,30,28,36.4,20,0
78,30,62,39.4,12,0
79,31,44,15.5,16,0
80,31,59,44,15,0
81,31,63,35.1,8,0
82,31,73,12,25,0
83,32,17,31.2,15,0.25
84,33,24,3.6,12,0
85,33,55,19.2,20,0
86,33,75,6.2,30,0
87,34,19,7.3,1,0
88,34,24,3.6,6,0
89,34,35,14.4,4,0
90,35,30,20.7,6,0
91,35,57,15.6,2,0
92,36,15,12.4,20,0
93,36,19,7.3,18,0
94,36,60,27.2,35,0
95,36,72,27.8,3,0
96,37,27,35.1,15,0.25
97,37,44,15.5,21,0
98,37,60,27.2,20,0.25
99,37,67,11.2,5,0.25
100,38,1,14.4,45,0.2
101,38,40,14.7,40,0.2
102,38,53,26.2,36,0.2
103,39,35,14.4,100,0
104,39,62,39.4,40,0
105,40,16,13.9,40,0.15
106,40,34,11.2,20,0
107,40,46,9.6,15,0.15
108,41,54,5.9,10,0.1
109,41,68,10,3,0.1
110,42,3,8,30,0
111,42,64,26.6,9,0
112,43,5,17,20,0
113,43,29,99,15,0
114,43,49,16,15,0
115,43,77,10.4,10,0
116,44,13,4.8,20,0.1
117,44,44,15.5,24,0.1
118,44,51,42.4,2,0.1
119,45,20,64.8,20,0
120,46,18,50,12,0
121,46,24,3.6,10,0
122,46,63,35.1,5,0
123,46,75,6.2,6,0
124,47,1,14.4,18,0
125,47,17,31.2,15,0
126,47,43,36.8,15,0
127,47,60,27.2,21,0
128,47,75,6.2,6,0
129,48,56,30.4,4,0
130,49,11,16.8,12,0
131,49,16,13.9,30,0
132,49,69,28.8,15,0
133,50,39,14.4,60,0
134,50,72,27.8,20,0
135,51,2,15.2,40,0
136,51,36,15.2,40,0.25
137,51,59,44,30,0.25
138,51,62,39.4,15,0
139,52,19,7.3,15,0
140,52,70,12,20,0
141,53,66,13.6,30,0
142,53,68,10,20,0
143,54,40,14.7,10,0
144,54,56,30.4,20,0
145,55,17,31.2,40,0
146,55,28,36.4,28,0
147,55,43,36.8,12,0
148,56,40,14.7,40,0.1
149,56,65,16.8,30,0.1
150,56,68,10,15,0.1
151,57,49,16,30,0
152,57,59,44,10,0
153,57,71,17.2,2,0
154,58,18,50,25,0.1
155,58,29,99,25,0.1
156,58,39,14.4,30,0.1
157,59,30,20.7,10,0
158,59,53,26.2,10,0
159,59,54,5.9,5,0
160,60,62,39.4,10,0
161,60,68,10,3,0
162,61,69,28.8,1,0
163,61,70,12,5,0
164,62,4,17.6,20,0
165,62,6,20,30,0
166,62,42,11.2,2,0
167,62,43,36.8,20,0
168,62,71,17.2,3,0
169,63,16,13.9,10,0
170,63,62,39.4,5,0
171,64,42,11.2,6,0
172,64,69,28.8,7,0
173,65,28,36.4,4,0
174,65,43,36.8,24,0
175,65,53,26.2,20,0
176,65,75,6.2,10,0
177,66,36,15.2,12,0
178,67,32,25.6,40,0.1
179,67,58,10.6,30,0.1
180,67,62,39.4,25,0.1
181,68,34,11.2,14,0
182,68,70,12,30,0
183,69,41,7.7,10,0
184,69,62,39.4,70,0
185,70,1,14.4,20,0
186,71,41,7.7,20,0
187,71,76,14.4,6,0
